id товара;наименование;ссылка на товар;промо цена;регулярная цена;бренд
241737;Кофе Coffesso Classico молотый (9г x 5шт), 45г;https://online.metro-cc.ru/products/5shth9g-kofe-coffesso-classico-molotyy-drip-paket;169;202;COFFESSO
243174;RIOBA Кофе в капсулах Dolce Gusto Capuccino 8 порций 16 капсул, 192г х 3 шт;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-capuccino-8-portsiy-16-kapsul-192g-h-3-sht;1 587;1 587;RIOBA
76039;Кофе в капсулах Jacobs Espresso №7 Classico для кофемашин Nespresso 10шт, 52г;https://online.metro-cc.ru/products/jacobs-espresso-7-classico-10sht;297;297;JACOBS
544095;Кофе Жокей Традиционный в зернах, 900г;https://online.metro-cc.ru/products/zhokej-tradicionnyj-900g;1 289;1 289;ЖОКЕЙ
236646;Кофе Monarch Original жареный в зернах, 230г;https://online.metro-cc.ru/products/230g-kofe-monarch-original-zharenyy-v-zyornah;349;469;MONARCH
218856;Кофе Carte Noire Crema Delice в зернах, 800г;https://online.metro-cc.ru/products/800g-kofe-carte-noire-crema-delice-zerno;1 329;1 329;CARTE NOIRE
230025;Кофе Illy без кофеина молотый, 250г;https://online.metro-cc.ru/products/kofe-illy-bez-kofeina-molotyy-250g;1 149;1 269;ILLY
426443;Кофе Carte Noire Original растворимый сублимированный, 75г;https://online.metro-cc.ru/products/art-426443;399;419;CARTE NOIRE
611604;Кофе Illy темная обжарка в зернах, 250г;https://online.metro-cc.ru/products/v-zernah-illy-temnaya-obzharka-250g;1 149;1 149;ILLY
218855;Кофе Carte Noire Original молотый, 230г;https://online.metro-cc.ru/products/230g-kofe-carte-noire-original-molotyy;439;469;CARTE NOIRE
234393;Кофе Julius Meinl Melange Венская коллекция молотый, 220г;https://online.metro-cc.ru/products/kofe-julius-meinl-melange-venskaya-kollektsiya-molotyy-220g;709;709;JULIUS MEINL
232898;Кофе D'Arte Original растворимый, 100г;https://online.metro-cc.ru/products/100g-kofe-darte-original-rastvorimyy;399;469;D'ARTE
226337;Напиток кофейный Carte Noire Cappuccino растворимый 20 пакетиков, 300г;https://online.metro-cc.ru/products/20shth15g-nap-kofeynyy-carte-noire-cappuccino-rastv-ports;499;639;CARTE NOIRE
666415;Кофе Julius Meinl Юбилейный молотый, 250г;https://online.metro-cc.ru/products/yubilejnyj-julius-meinl-250-g;569;569;JULIUS MEINL
122285;Кофе в капсулах Lavazza Qualita Oro для кофемашин Nespresso 10шт, 55г;https://online.metro-cc.ru/products/10h55g-lavazza-qualita-oro;589;589;LAVAZZA
